Points 1, Points 2, Points 3
0.0, 0.0, 0.0
0.5403023058681398, 0.8414709848078965, 0.5
-0.8322936730942848, 1.8185948536513634, 1.0
-2.9699774898013365, 0.4233600241796016, 1.5
-2.6145744834544478, -3.027209981231713, 2.0
1.4183109273161312, -4.794621373315692, 2.5
5.761021719902196, -1.6764929891935552, 3.0
5.277315780403132, 4.598906191031523, 3.5
-1.1640002704689083, 7.914865972987054, 4.0
-8.200172356962092, 3.7090663671758093, 4.5
-8.390715290764524, -5.440211108893697, 5.0
0.04868267786855864, -10.999892272057739, 5.5
10.126247504789905, -6.43887501600522, 6.0
11.796808158852551, 5.462171478746332, 6.5
1.9143210549096705, 13.868502979728184, 7.0
-11.39531869288232, 9.754317602356753, 7.5
-15.322551685174155, -4.606453066641045, 8.0
-4.677776746877147, -16.343757361952466, 8.5
11.885700748393443, -13.51777044189017, 9.0
18.785387745546714, 2.8476669835960946, 9.5
8.161641236267839, 18.258905014552553, 10.0
-11.502314464709636, 17.56976840925718, 10.5
-21.999138180682017, -0.1947288043888853, 11.0
-12.255159467668143, -19.463069296028923, 11.5
10.180296176087928, -21.733880688158973, 12.0
24.78007029658684, -3.3087937524443256, 12.5
16.81990238054465, 19.82651971246967, 13.0
-7.887747835813577, 25.82215006692158, 13.5
-26.952964256779865, 7.585362072620333, 14.0
-21.693668360981007, -19.245382642176057, 14.5
4.6275434966275215, -29.640948722785854, 15.0
28.35701309194047, -12.525167005015016, 15.5
26.695147536208328, 17.6456537997341, 16.0
-0.4381326583609628, 32.99709138353982, 16.5
-28.851389342676576, 17.98881132808081, 17.0
-31.629227178202736, -14.986393432365286, 17.5
-4.606692826586569, -35.704038723952166, 18.0
28.320319921977706, -23.81091093420898, 18.5
36.292798473797205, 11.262005990956641, 19.0
10.399074362037553, 37.58802006507943, 19.5
-26.677522466090476, 29.804526419173953, 20.0
-40.480910378476885, -6.503529420993068, 20.5
-16.799383229510752, -38.49390501245662, 21.0
23.869871965386903, -35.76631393302973, 21.5
43.993105580498415, 0.7788847046381974, 22.0
23.63948949679784, 38.29065860403533, 22.5
-19.8801854646998, 41.48226399184522, 23.0
-46.63976705009365, 5.807936769025528, 23.5
-30.726928294521585, -36.87622374353601, 24.0
14.729034643438217, -46.733879985214124, 24.5
48.248301424605664, -13.118742685196437, 25.0
37.84986403750291, 34.18168796801211, 25.5
-8.475520601376685, 51.30463478610524, 26.0
-48.6689876692423, 20.98403295963721, 26.5
-44.78273097461011, -30.17460863798728, 27.0
1.2169715944075654, -54.98653453472409, 27.5
47.780326032464714, -29.206856116867066, 28.0
51.29240913724404, 24.86139104912602, 28.5
6.912447856031518, 57.586613588903155, 29.0
-45.493733155574866, 37.56754242120913, 29.5
-57.14477882490938, -18.288637266133, 30.0
-15.744199792234316, -58.93318397051197, 30.5
41.75744406406235, -45.82920319225182, 31.0
62.11148463970063, 10.543409119076836, 31.5
25.0788627474912, 58.8816664445946, 32.0
-36.559500330481185, 53.743864166856724, 32.5
-65.97673209377909, -1.7523761655818084, 33.0
-34.69057658589684, -57.319838591346596, 33.5
29.929725529730767, -61.059082286871806, 34.0
68.54393620083674, -7.920152151039918, 34.5
44.33234421604099, 54.17234770905224, 35.0
-21.94061369979102, 67.5248803810606, 35.5
-69.64204235571954, 18.27528211886661, 36.0
-53.74206843059406, -49.40435285277346, 36.5
12.707083295477538, -72.9008232746503, 37.0
69.1313452293562, -29.083622655707284, 37.5
62.64918116417439, 43.024180404261706, 38.0
-2.3850774433036674, 76.96305221071631, 38.5
-66.90864127310905, 40.09031956702775, 39.0
-70.78170479648608, -35.084900827893165, 39.5
-8.830979507123805, -79.51109231387002, 40.0
62.91156454375213, -51.020927536230765, 40.5
77.87357122636854, 25.684760159512983, 41.0
20.711829791787064, 80.37425027131539, 41.5
-57.12197362933646, 61.58798688615654, 42.0
-83.67201468849356, -14.966427695629902, 42.5
-32.9980662656778, -79.41742644234914, 43.0
49.56827908108214, -71.49815178688156, 43.5
87.94484896517098, 3.11505064056214, 44.0
45.40575699980854, 76.54617711730835, 44.5
-40.32662545162531, 80.45969972405021, 45.0
-90.48743894446633, 9.644863569355273, 45.5
-57.63288920775119, -71.71087840465403, 46.0
29.520869241332253, -88.1902391381051, 46.5
91.12918046697882, -23.053686633959508, 47.0
69.36648829450787, 64.9098628999315, 47.5
-17.32132313194406, 94.42442356169711, 48.0
-89.73931104985215, 36.821950685669606, 48.5
-80.290248038563, -56.19142345506145, 49.0
3.942267158920751, -98.92147658444901, 49.5
86.23188722876839, -50.63656411097588, 50.0
90.09249184860418, 45.65460450501341, 50.5
10.361741777055377, 101.47233271855745, 51.0
-80.56978165837293, 64.16782903856193, 51.5
-98.4742731181261, -33.44872992890322, 52.0
-25.30070016980115, -101.9062047714359, 52.5
72.76757439614032, -77.07710500857037, 53.0
105.15741527841061, 19.77164666799142, 53.5
40.55503655883731, 100.09639858512078, 54.0
-62.89323750478177, 89.02494412335855, 54.5
-109.89228946461128, -4.866694589357806, 55.0
-55.78241942513776, -95.96521079577752, 55.5
51.06853969775892, -99.67950768908534, 56.0
112.46512989253584, -10.98155536593262, 56.5
70.62534983174993, 89.4877643096694, 57.0
-37.46812760029589, 108.72506341284858, 57.5
-112.70469411294106, 27.45272163025718, 58.0
-84.71937201395544, -80.69465908944052, 58.5
22.317271622417092, -115.87035594720186, 59.0
110.48808716795008, -44.19708807113273, 59.5
97.70171646318741, 69.67334210547772, 60.0
-5.888296713218621, 120.85664219155312, 60.5
-105.74558510834157, 60.84300477536008, 61.0
-109.22017552309822, -56.568129354819725, 61.5
-11.50424937010995, -123.46518637425825, 62.0
98.46431401802931, -77.00505739858205, 62.5
118.94200153319159, 41.578844034896534, 63.0
29.509605957766556, 123.52401853978581, 63.5
-88.69066520578113, 92.29282694422164, 64.0
-126.56261242177106, -24.958067572962435, 64.5
-47.747872959110545, -120.91377352427904, 65.0
76.5313550413169, -106.32004371490775, 65.5
131.81388956207883, 7.007033503279688, 66.0
65.81800531365626, 115.57244557649334, 66.5
-62.15306842615081, 118.71392540563308, 67.0
-134.47185774405997, 11.929772624040194, 67.5
-83.30656057146955, -107.49891611431286, 68.0
45.78065742041422, -129.12448027448036, 68.5
134.3635472408335, -31.471211811118845, 69.0
99.7970100960556, 96.75513824023908, 69.5
-27.69390036059755, 137.23355232164363, 70.0
-131.37285300583633, 51.20716251762952, 70.5
-114.87940678741084, -83.46689101777173, 71.0
8.222861124924762, -142.76338660497026, 71.5
125.44522574865746, -70.70710952137958, 72.0
128.16018918773253, 67.82304849654435, 72.5
12.258077764309876, 145.48449927577897, 73.0
-116.59105361747233, 89.52947121684399, 73.5
-139.27189373631327, -50.07334235999292, 74.0
-33.33740157020197, -145.2226485660797, 74.5
104.88762097175626, -107.2314644443747, 75.0
147.8825440528407, 30.524632093763696, 75.5
54.57473160744964, 141.86471960982703, 76.0
-90.47956167408168, 123.3792888586494, 76.5
-153.70448860204905, -9.535731937432827, 77.0
-75.51000921951793, -135.3633573300704, 77.5
73.57775779556883, -137.55840053510585, 78.0
156.50246595778967, -12.489121231331369, 78.5
95.67340424794439, 125.74020725133792, 79.0
-54.45666987942922, 149.38363734239059, 79.5
-156.10069004723798, 35.10804134064075, 80.0
-114.5957356573515, -113.08765347795674, 80.5
33.4501211527254, -158.5089568285275, 81.0
152.3887659986593, -57.85035866272446, 81.5
